Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,19.499001,19.546900,19.494900,19.499001,19.499001,0
2023-05-09,19.501900,19.526100,19.500401,19.501900,19.501900,0
2023-05-10,19.520000,19.558270,19.514400,19.520000,19.520000,0
2023-05-11,19.539700,19.585800,19.523380,19.539700,19.539700,0
2023-05-12,19.565800,19.658899,19.502300,19.565800,19.565800,0
2023-05-15,19.628000,19.674950,19.367001,19.628000,19.628000,0
2023-05-16,19.679701,19.733049,19.669729,19.679701,19.679701,0
2023-05-17,19.731300,19.760679,19.729349,19.731300,19.731300,0
2023-05-18,19.764400,19.803499,19.703470,19.764400,19.764400,0
2023-05-19,19.806860,19.819099,19.716999,19.806860,19.806860,0
2023-05-22,19.815901,19.858160,19.764000,19.815901,19.815901,0
2023-05-23,19.844549,20.266001,19.795210,19.844549,19.844549,0
2023-05-24,19.863930,19.894581,19.856689,19.863930,19.863930,0
2023-05-25,19.907101,19.933830,19.893930,19.907101,19.907101,0
2023-05-26,19.974400,20.102600,19.922741,19.974400,19.974400,0
2023-05-29,19.989201,20.098900,19.938080,19.989201,19.989201,0
2023-05-30,20.127081,20.419600,20.117571,20.127081,20.127081,0
2023-05-31,20.611601,20.816000,20.495640,20.611601,20.611601,0
2023-06-01,20.786400,20.810900,20.737890,20.786400,20.786400,0
2023-06-02,20.890200,20.919901,20.816759,20.890200,20.890200,0
2023-06-05,21.080299,21.261900,21.034130,21.080299,21.080299,0
2023-06-06,21.269501,21.520840,21.237391,21.269501,21.269501,0
2023-06-07,21.934401,23.196199,21.890369,21.934401,21.934401,0
2023-06-08,23.295530,23.396900,23.162510,23.295530,23.295530,0
2023-06-09,23.498699,23.536800,23.234440,23.498699,23.498699,0
2023-06-12,23.646000,23.658131,23.406811,23.646000,23.646000,0
2023-06-13,23.660101,23.766199,23.365499,23.660101,23.660101,0
2023-06-14,23.638500,23.681999,23.534901,23.638500,23.638500,0
2023-06-15,23.568501,23.675850,23.510981,23.568501,23.568501,0
2023-06-16,23.650801,23.676270,23.206070,23.650801,23.650801,0
2023-06-19,23.548500,23.674629,23.527370,23.548500,23.548500,0
2023-06-20,23.601500,23.648260,23.257360,23.601500,23.601500,0
2023-06-21,23.572100,23.623400,23.534000,23.572100,23.572100,0
2023-06-22,23.554800,24.761700,23.470881,23.554800,23.554800,0
2023-06-23,24.885099,25.718100,24.351120,24.885099,24.885099,0
2023-06-26,25.317801,26.039379,25.195709,25.317801,25.317801,0
2023-06-27,25.960159,26.159000,25.466990,25.960159,25.960159,0
2023-06-28,25.989990,26.186001,25.918501,25.989990,25.989990,0
2023-06-29,26.055500,26.064600,25.985109,26.055500,26.055500,0
2023-06-30,26.038601,26.073000,25.955050,26.038601,26.038601,0
2023-07-03,25.422400,26.093201,25.422400,25.422400,25.422400,0
2023-07-04,25.864201,26.072880,25.809700,25.864201,25.864201,0
2023-07-05,25.978100,26.123100,25.812080,25.978100,25.978100,0
2023-07-06,26.085600,26.137199,25.750771,26.085600,26.085600,0
2023-07-07,26.129801,26.187700,26.000500,26.129801,26.129801,0
2023-07-10,26.137800,26.207300,25.820999,26.137800,26.137800,0
2023-07-11,26.037189,26.162201,26.017550,26.037189,26.037189,0
2023-07-12,26.110001,26.150070,26.082939,26.110001,26.110001,0
2023-07-13,26.199600,26.232100,26.077999,26.199600,26.199600,0
2023-07-14,26.057199,26.201019,25.945499,26.057199,26.057199,0
2023-07-17,26.250000,26.357300,25.900000,26.250000,26.250000,0
2023-07-18,26.382200,26.999300,26.299740,26.382200,26.382200,0
2023-07-19,26.947800,27.037201,26.863750,26.947800,26.947800,0
2023-07-20,26.820499,26.975300,26.759899,26.820499,26.820499,0
2023-07-21,26.850500,26.940010,26.729330,26.850500,26.850500,0
2023-07-24,26.952000,26.987499,26.904510,26.952000,26.952000,0
2023-07-25,26.969400,27.018900,26.863560,26.969400,26.969400,0
2023-07-26,26.923500,26.956200,26.866341,26.923500,26.923500,0
2023-07-27,26.895700,26.964001,26.861740,26.895700,26.895700,0
2023-07-28,26.955200,26.972099,26.920349,26.955200,26.955200,0
2023-07-31,26.840401,26.965340,26.827400,26.840401,26.840401,0
2023-08-01,26.925980,27.128000,26.873720,26.925980,26.925980,0
2023-08-02,26.973499,27.090700,26.749241,26.973499,26.973499,0
2023-08-03,26.962299,26.996901,26.926390,26.962299,26.962299,0
2023-08-04,26.963289,27.263800,26.768961,26.963289,26.963289,0
2023-08-04,26.983500,27.284300,26.858999,26.937099,26.937099,0
